X,B cell,DC,Fibroblast,ILC,Keratinocytes,Lymphatic endothelium,Macrophage,Mast cell,Melanocyte,Mural cell,Schwann cell,T cell,Vascular endothelium
22x7,0.023923332,0.029135164,0.042495735,0.0204438,0.28408536,0.03012043,0.037031762,0.080793634,0.047320377,0.06920842,0.1820763,0.019140013,0.015445101
13x33,0.4227802,0.20710136,0.30752572,0.18496369,1.2321283,0.1875533,0.12565893,0.3007067,0.2918106,0.19462295,0.5606239,0.19644378,0.207398
8x38,0.009507107,0.0052706664,0.010399954,0.008254918,0.058421418,0.023892222,0.0065595186,0.047620624,0.015196578,0.0069946437,0.16990189,0.008591355,0.010214553
28x12,0.15236351,0.23588942,0.1542875,0.1073006,0.65067565,0.25819442,0.1045578,0.2600987,0.08678206,0.086361416,0.3215649,0.07775187,0.06165043
42x13,0.25127667,0.1505206,0.1507455,0.10538459,0.88046336,0.05692067,0.0836618,0.45981836,0.21220323,0.1316889,0.5998526,0.109620064,0.04533439
29x9,0.23260859,0.06353971,0.11874103,0.053104863,0.6074293,0.13796526,0.06763057,0.19925088,0.098526955,0.058243826,0.3703748,0.05653507,0.27251092
1x21,0.3784069,0.216463,0.38860306,0.20111138,2.1218135,0.3129,0.18450785,0.5603203,0.53086907,0.26152152,1.1604986,0.27556673,0.540208
4x31,0.10300219,0.058877267,0.052187387,0.02579381,0.16903573,0.023242805,0.02111408,0.09867139,0.056914404,0.021704895,0.09437852,0.025707478,0.012646488
21x14,0.11925618,0.06200583,0.08835825,0.064207815,0.80262464,0.101673864,0.078559786,0.22585955,0.1561262,0.105254374,0.46979463,0.06559144,0.099775754
21x11,0.070493296,0.08752962,0.11229754,0.032709874,0.17792386,0.036445703,0.05884733,0.15486094,0.041596103,0.037119187,0.38447407,0.033832055,0.023590816
25x7,0.074136436,0.02488917,0.08347335,0.03157543,0.7213899,0.029145563,0.027091283,0.09578893,0.03450864,0.02287967,0.12754355,0.02741813,0.013458398
8x37,0.06630906,0.057877764,0.18413782,0.02675693,0.23275007,0.030508209,0.026279496,0.08994991,0.059605386,0.025173761,0.1307631,0.02452745,0.047531154
10x41,0.069372706,0.039654646,0.08402777,0.023172637,0.39655262,0.02701756,0.036482982,0.09835989,0.057911947,0.031949956,0.12702975,0.021852957,0.025928142
31x10,0.15046743,0.1498074,0.17125058,0.060600035,0.84113735,0.08463095,0.07458427,0.19205083,0.112359606,0.216454,0.5318709,0.07252084,0.04848576
19x25,0.03863779,0.07136945,0.039750006,0.09202979,0.42263812,0.07527762,0.03167823,0.121822245,0.07479136,0.031247886,0.13435243,0.054961476,0.019953502
31x21,0.06267077,0.08148983,0.06862284,0.046648037,1.3880891,0.11166033,0.034405325,0.33210456,0.40596256,0.06796079,0.29356554,0.044481203,0.03982053
