gene,detected_spots
PRKACB,24
SAMD13,1
RPF1,47
GNG5,45
CTBS,6
SSX2IP,31
MCOLN2,7
MCOLN3,15
WDR63,1
SYDE2,5
C1orf52,3
BCL10,1
RP11.131L23.1,0
DDAH1,12
CYR61,1
ZNHIT6,2
COL24A1,2
ODF2L,23
CLCA2,123
CLCA4,1
SH3GLB1,50
SEP15,9
HS2ST1,10
RP5.1052I5.1,1
LMO4,32
PKN2,2
GTF2B,2
CCBL2,28
RBMXL1,49
GBP3,54
GBP1,204
GBP2,258
GBP4,102
LRRC8B,22
LRRC8C,1
RP5.943J3.1,1
LRRC8D,4
ZNF326,11
ZNF644,45
CDC7,11
TGFBR3,24
KIAA1107,1
RP4.621B10.8,3
GLMN,14
RPAP2,8
EVI5,4
RPL5,368
FAM69A,1
MTF2,14
TMED5,30
RP4.717I23.3,30
DR1,44
FNBP1L,11
DNTTIP2,2
GCLM,54
ABCA4,8
ARHGAP29,7
ABCD3,65
F3,4
LINC01057,10
SLC44A3,177
CNN3,93
RP4.639F20.1,1
ALG14,16
RP11.57H12.2,3
TMEM56,323
RWDD3,1
RP11.286B14.1,4
PTBP2,8
DPYD,12
RP11.490G2.2,1
SNX7,5
LPPR5,2
LPPR4,54
PALMD,97
AGL,41
SLC35A3,34
HIAT1,28
SASS6,1
TRMT13,17
DBT,67
RTCA,14
VCAM1,6
EXTL2,19
SLC30A7,30
DPH5,30
SCARNA16,3
S1PR1,1
COL11A1,4
RNPC3,79
AMY2B,81
AMY2A,3
AMY1A,12
AMY1B,6
AMY1C,11
PRMT6,1
VAV3,19
SLC25A24,18
HENMT1,2
PRPF38B,52
FNDC7,0
STXBP3,1
GPSM2,1
CLCC1,47
WDR47,20
TAF13,23
RP5.1065J22.8,3
TMEM167B,9
SCARNA2,2
KIAA1324,1
SARS,168
CELSR2,113
PSRC1,12
SORT1,70
PSMA5,30
SYPL2,81
ATXN7L2,6
CYB561D1,70
AMIGO1,74
RNU6V,2
GNAI3,75
AMPD2,12
GSTM4,58
GSTM2,97
GSTM1,62
GSTM3,11
GSTM5,3
EPS8L3,1
CSF1,25
AHCYL1,114
STRIP1,44
SLC6A17,5
KCNC4,6
RBM15,12
RP5.1074L1.4,12
SLC16A4,0
LAMTOR5,228
LAMTOR5.AS1,4
KCNA2,16
RP11.284N8.3,3
CD53,0
RP11.96K19.4,2
LRIF1,1
DRAM2,32
RP5.1180E21.5,3
CEPT1,27
DENND2D,97
CHI3L2,8
PIFO,2
OVGP1,20
WDR77,78
ATP5F1,173
C1orf162,3
ADORA3,1
RP5.836N10.1,8
RAP1A,55
FAM212B,4
KCND3,10
KCND3.IT1,1
RP11.88H9.2,11
CTTNBP2NL,1
RP4.671G15.2,5
WNT2B,3
ST7L,1
CAPZA1,31
MOV10,219
RHOC,48
PPM1J,6
SLC16A1,23
RP11.31F15.1,5
RP11.389O22.1,2
LRIG2,21
MAGI3,2
PHTF1,17
RSBN1,13
BCL2L15,0
AP4B1,41
AP4B1.AS1,1
DCLRE1B,4
HIPK1,63
OLFML3,8
TRIM33,42
BCAS2,48
DENND2C,5
CSDE1,170
SIKE1,2
TSPAN2,1
VANGL1,4
NHLH2,22
SLC22A15,1
MAB21L3,2
ATP1A1,57
ATP1A1OS,1
CD58,4
IGSF3,48
PTGFRN,15
TTF2,1
TRIM45,4
RP11.188D8.1,26
MAN1A2,70
GDAP2,7
WDR3,34
SPAG17,67
TBX15,29
WARS2,4
HAO2,152
HSD3B1,222
PHGDH,64
HMGCS2,4
RP5.1042I8.7,6
NOTCH2,105
RP6.42F4.1,8
RP11.439A17.7,2
FAM72B,1
RP11.439A17.9,0
FCGR1B,26
RP11.343N15.1,1
RP11.782C8.1,1
RP11.435B5.3,1
RP11.435B5.4,3
PPIAL4G,2
FAM72D,3
NBPF8,1
LINC00623,11
RP11.640M9.1,14
NBPF9,18
AL590452.1,1
PDE4DIP,24
RP11.326G21.1,1
SEC22B,14
NOTCH2NL,4
NBPF10,64
TXNIP,235
POLR3GL,135
ANKRD34A,4
LIX1L,20
RBM8A,51
PEX11B,34
ITGA10,1
ANKRD35,24
PIAS3,8
NUDT17,2
POLR3C,17
RNF115,11
PDZK1,89
GPR89A,14
GPR89C,25
RP11.94I2.4,3
RNVU1.7,1
NBPF11,4
NBPF12,12
PRKAB2,6
FMO5,7
CHD1L,200
BCL9,68
ACP6,80
GJA5,1
GPR89B,21
RP6.74O6.2,47
RP6.74O6.3,3
NBPF24,6
XXyac.YX155B6.5,1
RP6.74O6.6,1
RP11.89F3.2,1
NBPF20,14
NBPF15,7
NBPF16,16
RP11.14N7.2,19
RNVU1.17,3
RNVU1.18,9
RP11.403I13.4,1
FAM72C,2
RP11.277L2.3,5
RP11.353N4.1,2
RP11.353N4.4,1
FCGR1A,8
HIST2H4A,2
HIST2H2AA3,20
RP11.196G18.24,0
HIST2H2AA4,19
HIST2H4B,1
HIST2H2BE,30
HIST2H2AC,2
BOLA1,24
SV2A,16
SF3B4,6
OTUD7B,12
VPS45,38
PLEKHO1,15
ANP32E,70
APH1A,59
C1orf54,21
C1orf51,9
MRPS21,111
PRPF3,86
RPRD2,16
TARS2,27
ECM1,5
ADAMTSL4,1
MCL1,140
ENSA,260
GOLPH3L,36
HORMAD1,14
CTSS,6
CTSK,20
ARNT,5
SETDB1,32
CERS2,11
ANXA9,1
FAM63A,12
PRUNE,3
BNIPL,105
CDC42SE1,147
MLLT11,6
GABPB2,44
SEMA6C,8
TNFAIP8L2,1
SCNM1,17
VPS72,3
PIP5K1A,21
PSMD4,62
ZNF687,5
PI4KB,68
RFX5,66
RP11.126K1.6,3
SELENBP1,75
PSMB4,124
POGZ,83
TUFT1,29
SNX27,29
CELF3,6
MRPL9,5
TDRKH,1
RP11.98D18.17,1
LINGO4,4
RORC,8
THEM4,126
S100A10,98
S100A11,110
FLG,3
FLG2,2
CRCT1,1
KPRP,4
LCE1B,3
LCE1A,1
SPRR1A,13
SPRR1B,23
LOR,11
PGLYRP4,3
S100A9,2
S100A8,1
S100A6,191
S100A4,54
S100A3,1
S100A2,150
S100A16,135
S100A14,159
S100A13,69
CHTOP,122
SNAPIN,2
ILF2,193
INTS3,13
SLC27A3,58
GATAD2B,10
DENND4B,19
CRTC2,3
SLC39A1,35
CREB3L4,38
JTB,122
RAB13,10
RPS27,467
TPM3,67
C1orf43,178
UBAP2L,12
HAX1,42
RNU6.239P,0
ATP8B2,20
IL6R,60
SHE,20
TDRD10,35
UBE2Q1,17
CHRNB2,1
ADAR,292
KCNN3,3
PMVK,253
RP11.307C12.13,1
PBXIP1,26
PYGO2,27
SHC1,231
CKS1B,13
FLAD1,154
ZBTB7B,93
DCST2,1
RP11.307C12.11,33
ADAM15,174
EFNA4,26
EFNA3,44
EFNA1,81
SLC50A1,99
DPM3,56
KRTCAP2,5
TRIM46,4
MUC1,503
THBS3,91
MTX1,24
GBA,33
FAM189B,4
SCAMP3,92
CLK2,241
HCN3,65
PKLR,13
FDPS,476
RUSC1.AS1,11
RUSC1,106
ASH1L,31
ASH1L.AS1,4
YY1AP1,64
MSTO1,129
DAP3,58
GON4L,25
SYT11,5
RIT1,3
KIAA0907,120
ARHGEF2,24
SSR2,108
UBQLN4,13
LAMTOR2,54
RAB25,108
LMNA,130
SEMA4A,12
SLC25A44,22
PMF1,4
PAQR6,16
SMG5,60
TMEM79,224
C1orf85,81
CCT3,41
RHBG,1
C1orf61,22
MEF2D,35
IQGAP3,2
APOA1BP,23
GPATCH4,26
HAPLN2,3
RP11.284F21.10,0
BCAN,42
NES,22
CRABP2,2
ISG20L2,15
RRNAD1,1
MRPL24,43
HDGF,26
PRCC,62
SH2D2A,2
NTRK1,12
PEAR1,94
RN7SL612P,2
ETV3,4
FCRL5,4
FCRL3,3
FCRL2,1
CD5L,1
CD1A,5
CD1C,4
IFI16,11
CADM3,9
DARC,113
FCER1A,2
DUSP23,111
FCRL6,1
C1orf204,1
VSIG8,4
CCDC19,32
TAGLN2,73
IGSF9,24
RP11.48O20.4,0
RP11.226L15.5,3
PIGM,5
KCNJ10,16
KCNJ9,2
IGSF8,43
ATP1A2,57
CASQ1,1
RP11.536C5.7,3
PEA15,162
DCAF8,123
PEX19,30
COPA,24
NCSTN,69
VANGL2,49
CD84,4
SLAMF1,16
RP11.404F10.2,1
CD48,12
SLAMF7,2
LY9,1
ITLN1,1
F11R,31
TSTD1,124
USF1,5
ARHGAP30,1
PVRL4,14
PFDN2,7
NIT1,13
DEDD,18
UFC1,150
USP21,1
PPOX,63
B4GALT3,58
ADAMTS4,1
NDUFS2,211
FCER1G,2
TOMM40L,35
PCP4L1,9
MPZ,1
SDHC,37
RP11.122G18.5,8
RP11.122G18.8,31
FCGR2A,3
FCGR3A,2
FCGR3B,1
FCRLB,1
DUSP12,12
ATF6,85
OLFML2B,14
NOS1AP,4
UHMK1,125
UAP1,27
DDR2,27
HSD17B7,24
RGS4,3
RP11.267N12.1,7
RGS5,47
RP11.267N12.3,38
NUF2,7
PBX1,70
LMX1A,1
RXRG,1
MGST3,167
ALDH9A1,168
TMCO1,65
UCK2,20
FAM78B,2
RP11.479J7.1,8
POGK,14
ILDR2,3
MAEL,1
POU2F1,7
CREG1,101
RP3.455J7.4,0
MPZL1,14
MPC2,75
DCAF6,27
GPR161,2
TIPRL,61
SFT2D2,14
TBX19,1
XCL2,2
XCL1,1
LINC00626,2
